Timestamp,Gender,Age,Has membership card,Rate the product quality,Rate the price range,Rate the ambiance ,Rate the service of staff,Continue to buy?
2019/10/01 12:38:43 PM GMT+8,Female,From 20 to 29,1,4,3,5,4,Yes
2019/10/01 12:38:54 PM GMT+8,Female,From 20 to 29,1,4,3,4,5,Yes
2019/10/01 12:38:56 PM GMT+8,Male,From 20 to 29,1,4,3,4,4,Yes
2019/10/01 12:39:08 PM GMT+8,Female,From 20 to 29,0,2,1,3,3,No
2019/10/01 12:39:20 PM GMT+8,Male,From 20 to 29,0,3,3,2,3,Yes
2019/10/01 12:39:39 PM GMT+8,Female,From 20 to 29,0,4,3,5,5,Yes
2019/10/01 12:39:42 PM GMT+8,Female,From 20 to 29,1,5,5,5,5,Yes
2019/10/01 12:40:58 PM GMT+8,Male,From 20 to 29,1,4,2,3,3,Yes
2019/10/01 12:42:27 PM GMT+8,Female,From 20 to 29,1,5,4,4,4,Yes
2019/10/01 12:43:36 PM GMT+8,Male,From 20 to 29,0,4,3,4,3,Yes
2019/10/01 12:47:00 PM GMT+8,Female,From 20 to 29,0,4,1,5,3,Yes
2019/10/01 12:48:26 PM GMT+8,Female,From 20 to 29,0,3,2,4,4,No
2019/10/01 12:49:25 PM GMT+8,Female,From 20 to 29,1,4,3,4,3,Yes
2019/10/01 12:53:09 PM GMT+8,Female,From 20 to 29,1,4,3,4,4,Yes
2019/10/01 12:53:16 PM GMT+8,Female,From 20 to 29,1,5,2,5,5,No
2019/10/01 12:57:31 PM GMT+8,Female,From 20 to 29,1,4,1,4,4,No
2019/10/01 12:59:11 PM GMT+8,Male,From 30 to 39,1,4,3,4,3,Yes
2019/10/01 1:08:15 PM GMT+8,Male,From 20 to 29,1,4,4,4,4,Yes
2019/10/01 1:09:12 PM GMT+8,Male,From 20 to 29,1,4,3,5,5,Yes
2019/10/01 1:13:03 PM GMT+8,Female,From 20 to 29,1,3,4,4,4,Yes
2019/10/01 1:13:45 PM GMT+8,Male,From 30 to 39,1,2,2,3,4,No
2019/10/01 1:14:43 PM GMT+8,Female,From 20 to 29,0,5,3,3,4,Yes
2019/10/01 1:21:50 PM GMT+8,Male,From 20 to 29,0,5,2,5,4,No
2019/10/01 1:24:04 PM GMT+8,Female,From 20 to 29,1,5,4,5,4,Yes
2019/10/01 1:24:21 PM GMT+8,Male,40 and above,0,4,3,4,3,Yes
2019/10/01 1:25:56 PM GMT+8,Male,From 30 to 39,1,4,3,4,5,Yes
2019/10/01 1:29:11 PM GMT+8,Male,From 30 to 39,0,4,2,4,4,No
2019/10/01 1:33:54 PM GMT+8,Male,From 20 to 29,0,5,3,4,4,Yes
2019/10/01 1:34:30 PM GMT+8,Male,40 and above,1,4,5,3,4,Yes
2019/10/01 1:37:27 PM GMT+8,Female,From 20 to 29,1,5,5,5,5,Yes
2019/10/01 1:39:16 PM GMT+8,Female,From 20 to 29,1,3,1,4,4,Yes
2019/10/01 1:40:23 PM GMT+8,Female,From 20 to 29,1,4,3,3,3,Yes
2019/10/01 1:45:12 PM GMT+8,Female,From 30 to 39,0,2,3,5,5,Yes
2019/10/01 1:45:43 PM GMT+8,Female,From 20 to 29,1,3,2,3,4,No
2019/10/01 1:51:47 PM GMT+8,Female,From 20 to 29,0,3,4,3,4,Yes
2019/10/01 1:51:56 PM GMT+8,Female,From 20 to 29,0,4,2,4,4,No
2019/10/01 1:53:05 PM GMT+8,Female,From 20 to 29,0,3,3,4,5,Yes
2019/10/01 1:55:52 PM GMT+8,Male,Below 20,0,5,2,4,3,Yes
2019/10/01 1:57:01 PM GMT+8,Male,From 20 to 29,1,4,4,4,4,Yes
2019/10/01 2:00:32 PM GMT+8,Male,From 30 to 39,1,3,2,3,5,Yes
2019/10/01 2:03:08 PM GMT+8,Female,From 20 to 29,0,4,4,4,4,Yes
2019/10/01 2:06:24 PM GMT+8,Male,From 20 to 29,1,5,4,5,5,Yes
2019/10/01 2:27:41 PM GMT+8,Female,From 20 to 29,1,5,4,5,4,Yes
2019/10/01 2:35:40 PM GMT+8,Female,From 20 to 29,0,4,4,4,5,Yes
2019/10/01 2:41:01 PM GMT+8,Female,Below 20,0,3,3,3,3,Yes
2019/10/01 2:41:31 PM GMT+8,Female,From 30 to 39,1,5,3,3,4,Yes
2019/10/01 2:41:56 PM GMT+8,Female,Below 20,0,3,2,4,3,Yes
2019/10/01 2:42:02 PM GMT+8,Female,From 20 to 29,0,3,1,4,3,Yes
2019/10/01 2:45:52 PM GMT+8,Female,From 20 to 29,0,3,4,4,4,Yes
2019/10/01 3:08:53 PM GMT+8,Male,Below 20,1,3,3,3,3,Yes
2019/10/01 3:12:11 PM GMT+8,Male,40 and above,1,4,4,4,3,Yes
2019/10/01 3:16:32 PM GMT+8,Female,Below 20,0,3,3,2,4,No
2019/10/01 3:20:55 PM GMT+8,Female,40 and above,1,5,4,5,5,Yes
2019/10/01 3:21:16 PM GMT+8,Female,Below 20,0,3,3,3,3,Yes
2019/10/01 3:57:29 PM GMT+8,Female,From 20 to 29,1,4,3,4,5,Yes
2019/10/01 4:02:35 PM GMT+8,Female,From 20 to 29,1,4,3,3,3,Yes
2019/10/01 4:03:17 PM GMT+8,Female,From 20 to 29,0,5,4,4,3,Yes
2019/10/01 4:03:57 PM GMT+8,Male,Below 20,1,5,5,5,5,Yes
2019/10/01 4:05:59 PM GMT+8,Male,Below 20,0,3,3,3,3,Yes
2019/10/01 6:19:46 PM GMT+8,Female,From 20 to 29,0,4,3,4,4,Yes
2019/10/01 8:32:12 PM GMT+8,Male,From 20 to 29,1,2,1,1,3,Yes
2019/10/02 12:13:06 AM GMT+8,Female,From 20 to 29,0,5,4,4,3,Yes
2019/10/02 9:29:28 AM GMT+8,Male,From 30 to 39,0,3,3,3,3,Yes
2019/10/02 7:14:30 PM GMT+8,Male,From 20 to 29,1,4,2,5,4,Yes
2019/10/02 7:15:13 PM GMT+8,Female,From 20 to 29,0,3,1,3,4,No
2019/10/02 7:15:27 PM GMT+8,Female,From 20 to 29,0,4,3,4,4,No
2019/10/02 7:23:55 PM GMT+8,Female,From 20 to 29,1,4,3,5,4,Yes
2019/10/02 7:27:56 PM GMT+8,Female,From 20 to 29,0,3,3,3,3,No
2019/10/02 7:29:53 PM GMT+8,Female,From 20 to 29,0,2,1,4,4,No
2019/10/02 7:31:32 PM GMT+8,Female,From 20 to 29,1,3,3,4,3,Yes
2019/10/02 7:33:51 PM GMT+8,Female,From 20 to 29,0,4,3,5,5,Yes
2019/10/02 8:04:41 PM GMT+8,Male,From 20 to 29,1,5,1,3,3,Yes
2019/10/02 8:08:37 PM GMT+8,Female,From 20 to 29,1,4,2,4,4,Yes
2019/10/02 8:29:35 PM GMT+8,Male,From 30 to 39,1,3,2,4,5,Yes
2019/10/02 8:31:21 PM GMT+8,Female,From 20 to 29,0,3,2,3,5,Yes
2019/10/02 8:35:08 PM GMT+8,Male,From 20 to 29,1,3,3,5,4,Yes
2019/10/02 8:52:13 PM GMT+8,Male,From 20 to 29,0,4,2,3,4,Yes
2019/10/02 9:19:50 PM GMT+8,Male,From 20 to 29,1,4,2,4,4,Yes
2019/10/03 7:19:36 AM GMT+8,Female,From 20 to 29,0,2,1,2,2,No
2019/10/03 7:21:08 AM GMT+8,Female,Below 20,0,2,2,2,2,No
2019/10/03 8:46:25 AM GMT+8,Female,From 20 to 29,1,3,2,3,3,No
2019/10/03 9:11:28 AM GMT+8,Male,From 20 to 29,0,1,1,3,3,No
2019/10/03 11:14:37 AM GMT+8,Male,From 20 to 29,1,5,5,5,5,Yes
2019/10/03 11:14:44 AM GMT+8,Male,From 30 to 39,1,4,4,4,4,Yes
2019/10/03 11:15:13 AM GMT+8,Male,From 20 to 29,0,4,2,3,4,No
2019/10/03 11:17:27 AM GMT+8,Male,From 30 to 39,1,4,3,4,4,Yes
2019/10/03 11:18:48 AM GMT+8,Male,From 20 to 29,1,4,3,3,2,Yes
2019/10/03 11:22:03 AM GMT+8,Female,From 20 to 29,1,3,3,4,3,Yes
